Categoria,Modelo,Marca,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Cor,Portas,Final de placa,CEP,Município,Bairro,url,Direção,Tipo de veículo
"Carros, vans e utilitários",GM - CHEVROLET ONIX,GM - CHEVROLET,2019,113046,1.0,Flex,Manual,Prata,4 portas,7,89163020,Rio do Sul,Canta Galo,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-1-0-mpfi-lt-8v-flex-4p-manual-893361241,,
"Carros, vans e utilitários",RENAULT LOGAN,RENAULT,2018,69862,1.0,Flex,Manual,Prata,4 portas,4,89600000,Joaçaba,,https://sc.olx.com.br/oeste-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/renault-logan-1-0-12v-sce-flex-authentique-4p-manual-878756993,Hidráulica,
"Carros, vans e utilitários",FORD 500 4.8 V8 MANUAL,FORD,1975,70000,,Gasolina,,Laranja,4 portas,,88020301,Florianópolis,Centro,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/galaxy-ltd-1976-898789214,,Antigo
"Carros, vans e utilitários",TOYOTA HILUX SW4 SRV D4-D 4X4 3.0 TDI DIES. AUT,TOYOTA,2010,190000,3.0 - 3.9,Diesel,Automático,Prata,4 portas,0,89874000,Maravilha,,https://sc.olx.com.br/oeste-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/sw4-2010-particular-898788197,Hidráulica,SUV
"Carros, vans e utilitários",FIAT TORO RANCH 2.0 16V 4X4 DIESEL AUT.,FIAT,2021,6200,2.0 - 2.9,Diesel,Automático,Preto,4 portas,1,89203070,Joinville,Atiradores,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/toro-ranch-2021-com-6100km-897692947,Hidráulica,Pick-up
"Carros, vans e utilitários",TROLLER T-4 4X4 3.0 TB INT. CAP. RÍGIDA DIESEL,TROLLER,2009,144000,,Diesel,Manual,,2 portas,3,89270000,Guaramirim,,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/t4-2009-2009-3-0-teto-rigido-16v-turbo-eletronic-diesel-2p-manual-887268274,,Passeio
"Carros, vans e utilitários",FORD FOCUS TITA/TITA PLUS 2.0  FLEX 5P AUT.,FORD,2015,100,2.0 - 2.9,Flex,Automático,Branco,4 portas,4,89227015,Joinville,Iririú,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/focus-hatch-898787408,Elétrica,Hatch
"Carros, vans e utilitários",VW - VOLKSWAGEN FUSCA,VW - VOLKSWAGEN,1975,24000,1.3,Gasolina,Manual,Azul,2 portas,6,89670000,Catanduvas,,https://sc.olx.com.br/oeste-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/fusca-898788580,Mecânica,Antigo
"Carros, vans e utilitários",VOLVO V60 T-5 MOMENTUM 2.0 245CV 5P,VOLVO,2020,6000,2.0 - 2.9,Gasolina,Automático,Cinza,4 portas,7,89053200,Blumenau,Itoupava Norte,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/volvo-xc60-2-0-t5-893534810,Hidráulica,SUV
"Carros, vans e utilitários",MITSUBISHI PAJERO TR4 2.0/ 2.0 FLEX 16V 4X4 MEC.,MITSUBISHI,2012,190000,2.0 - 2.9,Flex,Manual,Prata,4 portas,3,88054350,Florianópolis,Canasvieiras,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/pajero-tr4-4x4-2012-cambio-manual-894848557,Hidráulica,SUV
"Carros, vans e utilitários",GM - CHEVROLET MONTANA LS 1.4 ECONOFLEX 8V 2P,GM - CHEVROLET,2013,105000,1.4,Flex,Manual,Vermelho,2 portas,2,88066000,Florianópolis,Morro das Pedras,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/montana-2013-898787011,Hidráulica,Pick-up
"Carros, vans e utilitários",GM - CHEVROLET TRACKER PREMIER 1.4 TURBO 16V FLEX AUT,GM - CHEVROLET,2018,43000,1.4,Flex,Automático,Prata,4 portas,9,89107000,Pomerode,,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/venda-de-carro-898787139,Elétrica,SUV
"Carros, vans e utilitários",FORD MUSTANG GT V8,FORD,1995,34163,4.0 ou mais,Gasolina,Manual,Vermelho,2 portas,9,89010913,Blumenau,Centro,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/mustang-gt-v8-1995-manual-896738077,Hidráulica,Antigo
"Carros, vans e utilitários",GM - CHEVROLET TRACKER MIDNIGHT 1.4 TURBO FLEX AUT.,GM - CHEVROLET,2019,9087,1.4,Flex,Automático,Preto,4 portas,8,88063000,Florianópolis,Campeche,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/tracker-midnigh-2019-898788490,Hidráulica,SUV
"Carros, vans e utilitários",MINI COOPER S 1.6 AUT.,MINI,2012,72500,1.6,Gasolina,Automático,Branco,2 portas,0,88220000,Itapema,,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/mini-cooper-s-893228263,Hidráulica,Hatch
