Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,CEP,Município,Bairro,url,Tipo,Novo/Usado
"Carros, vans e utilitários",GM - CHEVROLET CAPTIVA SPORT FWD 3.6 V6 24V 261CV 4X2,GM - CHEVROLET,SUV,2010,159000,3.0 - 3.9,Gasolina,Automático,Hidráulica,Preto,4 portas,4,06473073,Barueri,Sítio Tamboré Alphaville,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/captiva-878912789,,
"Carros, vans e utilitários",RENAULT MASTER 2.3 DCI EXTRA FURGÃO 16V DIESEL,RENAULT,Van/Utilitário,2020,202480,,Diesel,Manual,Hidráulica,Branco,,9,13474050,Americana,Jardim Santa Eliza,https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/renault-master-2-3-furgao-l3h2-2020-892116748,,
"Carros, vans e utilitários",HONDA CIVIC SEDAN LXS 1.8/1.8 FLEX 16V AUT. 4P,HONDA,Sedã,2014,161861,,Flex,Automático,Hidráulica,,4 portas,3,15080210,São José do Rio Preto,Jardim Santa Maria,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-civic-sedan-lxs-1-8-1-8-flex-16v-aut-4p-flex-a-875997402,,
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL 1.6 MI PLUS TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,Passeio,2011,151000,1.6,Flex,Manual,Hidráulica,Prata,4 portas,6,15603730,Fernandópolis,Residencial Mário Benez,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/autos-e-pecas/carros-vans-e-utilitarios/gol-1-6-898784330,,
"Carros, vans e utilitários",FIAT PALIO ED 1.0 MPI 2P E 4P,FIAT,Hatch,1987,2800,1.0,Gasolina,Manual,Mecânica,Branco,2 portas,0,16304320,Penápolis,Jardim Del Rey,https://sp.olx.com.br/regiao-de-presidente-prudente/autos-e-pecas/carros-vans-e-utilitarios/palio-ed-1-0-886763563,,
"Carros, vans e utilitários",HYUNDAI I30,HYUNDAI,,2010,135000,2.0 - 2.9,Gasolina,Automático,Hidráulica,Prata,4 portas,8,14871700,Jaboticabal,Sorocabano,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/hyundai-i30-2-0-mpi-16v-gasolina-4p-automatico-891122060,,
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL CLI / CL 1.8,VW - VOLKSWAGEN,Passeio,1994,232000,1.8,Álcool,Manual,,Vermelho,2 portas,2,17015012,Bauru,Centro,https://sp.olx.com.br/regiao-de-bauru-e-marilia/autos-e-pecas/carros-vans-e-utilitarios/gol-legalizado-898784287,,
"Carros, vans e utilitários",VW - VOLKSWAGEN UP! TAKE 1.0 TOTAL FLEX 12V 5P,VW - VOLKSWAGEN,Hatch,2016,120000,1.0,Flex,Manual,Hidráulica,Vermelho,4 portas,3,09230700,Santo André,Vila Alto de Santo André,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/up-take-1-0-completo-896437921,,
"Carros, vans e utilitários",GM - CHEVROLET ASTRA ADVANTAGE 2.0 MPFI 8V FLEXPOWER 5P,GM - CHEVROLET,Hatch,2007,200,2.0 - 2.9,Flex,Manual,Hidráulica,Prata,4 portas,5,12220360,São José dos Campos,Vila Industrial,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/autos-e-pecas/carros-vans-e-utilitarios/astra-2-0-impecavel-2007-novidade-oportunidade-893539227,,
"Carros, vans e utilitários",FORD FIESTA 1.5 16V FLEX MEC. 5P,FORD,Passeio,2014,76713,,Flex,Manual,,,4 portas,7,13070178,Campinas,Jardim Chapadão,https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/ford-fiesta-1-5-s-hatch-16v-898784179,,
"Carros, vans e utilitários",FIAT PALIO,FIAT,,2012,118000,1.0,Flex,Manual,Hidráulica,Preto,4 portas,8,14600000,São Joaquim da Barra,,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/fiat-palio-1-0-mpi-attractive-8v-flex-4p-manual-891083594,,
"Carros, vans e utilitários",GURGEL CARAJAS/TOCANTIS/XAVANTE/VIP,GURGEL,Buggy,1975,0,1.6,Gasolina,Manual,Hidráulica,Branco,,0,13455455,Santa Bárbara D'Oeste,Jardim Europa I,https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/vende-se-gurgel-1975-895835480,,
"Carros, vans e utilitários",FORD ECOSPORT,FORD,,2004,230000,1.6,Gasolina,Manual,Hidráulica,Preto,4 portas,0,14600000,São Joaquim da Barra,,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/ford-ecosport-1-6-xls-8v-gasolina-4p-manual-894827288,,
"Carros, vans e utilitários",VOLVO XC-60,VOLVO,Passeio,2012,117000,,Gasolina,Automático,,,4 portas,9,04707000,São Paulo,Jardim das Acácias,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/xc60-2011-2012-2-0-t5-dynamic-fwd-turbo-gasolina-4p-automatico-890168632,,
"Carros, vans e utilitários",GM - CHEVROLET CRUZE LT 1.8 16V FLEXPOWER 4P AUT.,GM - CHEVROLET,,2013,105296,1.8,Flex,Automático,Hidráulica,Preto,4 portas,9,18060070,Sorocaba,Vila Carvalho,https://sp.olx.com.br/regiao-de-sorocaba/autos-e-pecas/carros-vans-e-utilitarios/cruze-lt-1-8-2013-891786682,,
