Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Final de placa,CEP,Município,price,url,Portas,Bairro
"Carros, vans e utilitários",FIAT PALIO ELX 1.4 MPI FIRE FLEX 8V 4P,FIAT,Hatch,2013,100000,1.4,Flex,Manual,Hidráulica,Branco,8,49160000,Nossa Senhora do Socorro,28000.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/palio-atractive-1-4-894621818,,
"Carros, vans e utilitários",FIAT DOBLO ADV/ADV TRYON/LOCKER 1.8 FLEX,FIAT,Van/Utilitário,2007,85241,1.8,Flex,Manual,Hidráulica,Branco,6,49055080,Aracaju,23900.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/dublo-1-8-com-gaz-7-lugar-818808225,4 portas,Getúlio Vargas
"Carros, vans e utilitários",GM - CHEVROLET CORSA SED. JOY 1.8 MPFI 8V FLEXPOWER,GM - CHEVROLET,Sedã,2007,95241,1.8,Flex,Manual,Hidráulica,Branco,4,49055080,Aracaju,15900.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/corsa-1-8-completo-754869810,4 portas,Getúlio Vargas
"Carros, vans e utilitários",FIAT PALIO,FIAT,,1997,4444,,,Manual,,,,49100000,São Cristóvão,7000.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/fiat-palio-97-894620315,4 portas,
"Carros, vans e utilitários",RENAULT KWID OUTSIDER 1.0 FLEX 12V 5P MEC.,RENAULT,Hatch,2020,20000,1.0,Flex,Manual,Elétrica,Prata,4,49055520,Aracaju,0.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/renault-kwid-outsider-1-0-2020-troco-e-financio-aprovacao-imediata-894618801,4 portas,Getúlio Vargas
"Carros, vans e utilitários",FIAT SIENA EL 1.0 MPI FIRE FLEX 8V 4P,FIAT,Sedã,2010,132000,1.0,Flex,Manual,Hidráulica,Preto,8,49020210,Aracaju,22000.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/siena-el-2010-fireflex-1-0-894619928,4 portas,Salgado Filho
"Carros, vans e utilitários",FIAT UNO MILLE 1.0/ I.E./ ELECTRONIC/  BRIO,FIAT,Hatch,1991,498802,1.0,Gasolina,Manual,Mecânica,Vermelho,0,49003223,Aracaju,,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-894608895,2 portas,17 de Março
"Carros, vans e utilitários",FIAT SIENA ELX 1.4 MPI FIRE FLEX 8V 4P,FIAT,Sedã,2010,190000,1.4,Flex,Manual,Hidráulica,Preto,8,49082210,Aracaju,22500.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/siena-elx-1-4-2010-894619089,4 portas,Novo Paraíso
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL (NOVO) 1.0 MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,Pick-up,2020,20000,1.0,Flex,Manual,Hidráulica,Preto,2,49000447,Aracaju,48000.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/gol-1-0-3cc-2020-888244913,4 portas,Aruana
"Carros, vans e utilitários",FIAT STRADA VOLCANO 1.3 FLEX 8V CD,FIAT,Pick-up,2021,3700,1.3,Flex,Manual,Hidráulica,Branco,8,49065000,Aracaju,0.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/carro-894607138,4 portas,Industrial
"Carros, vans e utilitários",GM - CHEVROLET CORSA GL 1.6 MPFI / 1.4 EFI 2P E 4P,GM - CHEVROLET,Hatch,2015,75000,1.4,Flex,Manual,Hidráulica,Preto,3,49015160,Aracaju,18000.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/corsa-2015-894597790,4 portas,São José
"Carros, vans e utilitários",VW - VOLKSWAGEN GOLF 1.6 MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,Hatch,2008,158000,1.6,Flex,Manual,Hidráulica,Prata,1,49400000,Lagarto,30000.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/vendo-ou-troco-em-honda-civic-894594243,4 portas,
"Carros, vans e utilitários",GM - CHEVROLET CELTA LIFE/ LS 1.0 MPFI 8V FLEXPOWER 5P,GM - CHEVROLET,Hatch,2013,112000,1.0,Flex,Manual,Mecânica,Branco,8,49036090,Aracaju,16500.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/celta-2013-894599175,2 portas,Coroa do Meio
"Carros, vans e utilitários",VW - VOLKSWAGEN PARATI 1.8 MI TOUR 8V 99CV 4P,VW - VOLKSWAGEN,Sedã,1996,11111,1.8,Gasolina,Manual,Mecânica,Vermelho,4,49680000,Nossa Senhora da Glória,3500.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/vendo-ou-troco-carro-894590180,2 portas,
"Carros, vans e utilitários",TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Sedã,2015,31000,2.0 - 2.9,Flex,Automático,Elétrica,Prata,4,49060450,Aracaju,78000.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/corolla-xei-2015-894594426,4 portas,Santo Antônio
"Carros, vans e utilitários",FIAT SIENA EL 1.0 MPI FIRE FLEX 8V 4P,FIAT,Sedã,2007,1,1.0,Flex,Manual,Mecânica,Cinza,9,49081007,Aracaju,15900.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/siena-2007-ar-ver-vid-15-900-894593539,4 portas,Capucho
"Carros, vans e utilitários",FORD ECOSPORT SE 1.5 12V FLEX 5P AUT.,FORD,SUV,2020,27000,1.5,Flex,Automático,Elétrica,Cinza,6,49055520,Aracaju,78900.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/ford-ecosport-se-1-5-aut-2020-troco-e-financio-aprovacao-imediata-880136372,4 portas,Getúlio Vargas
"Carros, vans e utilitários",FORD FIESTA 1.0 8V FLEX/CLASS 1.0 8V FLEX 5P,FORD,Hatch,2013,130000,1.0,Flex,Manual,Hidráulica,Preto,0,49050710,Aracaju,24000.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/excelente-oportunidade-fiest-hatch-894585400,4 portas,Pereira Lobo
"Carros, vans e utilitários",FIAT GRAND SIENA ATTRAC. 1.4 EVO F.FLEX 8V,FIAT,Sedã,2013,555555,1.4,Flex,Manual,Hidráulica,Preto,7,49160000,Nossa Senhora do Socorro,33500.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/grand-siena-2013-894584427,4 portas,
"Carros, vans e utilitários",HYUNDAI HB20 SENSE 1.0 FLEX 12V MEC,HYUNDAI,Hatch,2022,0,1.0,Flex,Manual,Elétrica,Prata,2,49055110,Aracaju,50900.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-o-sense-21-22-894578161,4 portas,Getúlio Vargas
"Carros, vans e utilitários",GM - CHEVROLET HATCH PREM. 1.0 12V TB FLEX 5P AUT,GM - CHEVROLET,Hatch,2020,17000,1.0,Flex,Automático,Elétrica,Branco,0,49045770,Aracaju,83000.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/onix-894559850,4 portas,Luzia
"Carros, vans e utilitários",GM - CHEVROLET AGILE LT 1.4 MPFI 8V FLEXPOWER 5P,GM - CHEVROLET,Passeio,2010,136000,1.4,Flex,Manual,Hidráulica,Verde,9,49160000,Nossa Senhora do Socorro,22000.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/agile-894579144,4 portas,
"Carros, vans e utilitários",VW - VOLKSWAGEN TIGUAN ALLSPAC COMF 250 TSI 1.4 FLEX,VW - VOLKSWAGEN,SUV,2019,33000,1.8,Flex,Automático,Elétrica,Cinza,6,49045080,Aracaju,140000.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/vendo-tiguan-894576304,4 portas,Luzia
"Carros, vans e utilitários",GM - CHEVROLET MONZA CLASS 1.8/ 2.0,GM - CHEVROLET,Sedã,1994,145555,1.8,Gasolina,Manual,Hidráulica,Cinza,3,49900000,Propriá,5000.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/monza-tubarao-894562869,4 portas,
"Carros, vans e utilitários",FIAT ARGO DRIVE 1.0 6V FLEX,FIAT,Hatch,2019,30600,1.0,Flex,Manual,Elétrica,Preto,4,49027400,Aracaju,49800.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/argo-drive-1-0-2019-894575258,4 portas,Grageru
"Carros, vans e utilitários",GM - CHEVROLET ONIX HATCH LT 1.4 8V FLEXPOWER 5P MEC.,GM - CHEVROLET,Passeio,2017,78400,,Flex,Manual,,,8,49060000,Aracaju,49900.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/onix-2016-2017-1-4-mpfi-lt-8v-flex-4p-manual-894561817,4 portas,Santo Antônio
"Carros, vans e utilitários",FIAT STRADA WORKING HARD 1.4 FIRE FLEX 8V CD,FIAT,Pick-up,2019,69000,1.4,Flex,Manual,Hidráulica,Branco,0,49055520,Aracaju,67900.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/strada-cd-2019-877405756,2 portas,Getúlio Vargas
"Carros, vans e utilitários",VW - VOLKSWAGEN NIVUS HIGHLINE 1.0 200 TSI FLEX AUT,VW - VOLKSWAGEN,SUV,2021,5000,1.0,Flex,Automático,Elétrica,Cinza,0,49055520,Aracaju,118000.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-nivus-highline-1-0-200tsi-flex-aut-2021-troco-e-financio-aprovacao-imediata-894548990,4 portas,Getúlio Vargas
"Carros, vans e utilitários",FORD FIESTA SE PLUS 1.6 16V FLEX AUT. 5P,FORD,Passeio,2017,57000,1.6,Flex,Manual,Hidráulica,Branco,0,49035020,Aracaju,40500.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/ford-new-fiesta-892252799,4 portas,Atalaia
