Categoria,Modelo,Marca,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,CEP,Município,Bairro,price,url,Tipo de veículo
"Carros, vans e utilitários",PEUGEOT 307 SED.FELINE/GRIFF 2.0/2.0 FLEX 4P AUT,PEUGEOT,2007,165000,2.0 - 2.9,Gasolina,Automático,Hidráulica,Prata,4 portas,2,94060000,Gravataí,São Vicente,17990.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/peugeot-307-sedan-feline-2-0-16v-aut-4p-860470403,
"Carros, vans e utilitários",PEUGEOT 308 ALLURE 2.0 FLEX 16V 5P AUT.,PEUGEOT,2014,97000,2.0 - 2.9,Flex,Automático,Hidráulica,Branco,4 portas,8,91020000,Porto Alegre,Navegantes,40000.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/peugeot-308-allure-2-0-automatico-impecavel-881794176,Passeio
"Carros, vans e utilitários",GM - CHEVROLET CRUZE HB SPORT LTZ 1.8 16V FLEXP. 5P AUT,GM - CHEVROLET,2013,89,1.8,Flex,Automático,Hidráulica,Preto,4 portas,9,95050705,Caxias do Sul,São Ciro,61900.0,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/cruze-ltz-teto-solar-898691062,Hatch
"Carros, vans e utilitários",CITROEN C3 PICASSO GL 1.5 FLEX 8V MEC.,CITROEN,2012,120000,1.5,Flex,Manual,Elétrica,Branco,4 portas,2,91140000,Porto Alegre,Sarandi,32900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/picasso-c3-870364900,SUV
"Carros, vans e utilitários",RENAULT SYMBOL EXPRESSION HI-FLEX 1.6 8V 4P,RENAULT,2010,145000,1.6,Flex,Manual,Hidráulica,Preto,4 portas,8,91110580,Porto Alegre,Sarandi,18900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/symbol-expression-1-6-8v-2010-completo-821865779,Passeio
"Carros, vans e utilitários",RENAULT SYMBOL EXPRESSION HI-FLEX 1.6 8V 4P,RENAULT,2011,139069,1.6,Flex,Manual,Hidráulica,Prata,4 portas,7,91060591,Porto Alegre,São Sebastião,18990.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/renault-symbol-ex1616v-868481587,
"Carros, vans e utilitários",JEEP CHEROKEE SPORT  4.0 MEC./AUT.,JEEP,1998,200000,4.0 ou mais,Gasolina,Automático,Hidráulica,Azul,4 portas,7,93320105,Novo Hamburgo,Pátria Nova,19900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/jeep-cherokee-laredo-v6-4p-879017033,SUV
"Carros, vans e utilitários",TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,2011,123239,2.0 - 2.9,Flex,Automático,,,,,97110800,Santa Maria,Camobi,50890.0,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/autos-e-pecas/carros-vans-e-utilitarios/toyota-corolla-xei-2-0-flex-16v-aut-2011-flex-888230415,
"Carros, vans e utilitários",FORD KA GL IMAGE 1.0I/ 1.0I ZETEC ROCAM,FORD,2003,160000,1.0,Gasolina,Manual,Hidráulica,Preto,2 portas,2,92330000,Canoas,Mathias Velho,12990.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/ka-1-0-completo-ano-2003-833351455,Hatch
"Carros, vans e utilitários",HYUNDAI HB20S C.PLUS/C.STYLE1.0 FLEX 12V MEC. 4P,HYUNDAI,2018,57000,1.0,Flex,Manual,Hidráulica,Branco,4 portas,6,93950000,Dois Irmãos,,53900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20s-comfort-plus-1-0-flex-892361273,Sedã
