Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Portas,Final de placa,CEP,Município,Bairro,url,Cor
"Carros, vans e utilitários",HYUNDAI HB20 C.STYLE/C.PLUS 1.6 FLEX 16V AUT.,HYUNDAI,Hatch,2015,77,1.6,Flex,Automático,Hidráulica,4 portas,6,66120620,Belém,Sacramenta,https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-6-at-flex-2015-falar-com-igor-na-rafa-veiculos-sstr-832939171,
"Carros, vans e utilitários",RENAULT LOGAN ZEN FLEX 1.0 12V 4P MEC.,RENAULT,Passeio,2020,100,,Flex,Manual,,4 portas,6,66123020,Belém,Sacramenta,https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/logan-2019-2020-1-0-12v-sce-flex-zen-manual-834450456,
"Carros, vans e utilitários",JEEP RENEGADE LIMITED 1.8 4X2 FLEX 16V AUT.,JEEP,SUV,2019,42000,1.8,Flex,Automático,Elétrica,4 portas,7,66113003,Belém,Telégrafo Sem Fio,https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/jeep-renegade-1-8-limited-2019-automatico-889726709,Cinza
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL 1.0 FLEX 12V 5P,VW - VOLKSWAGEN,Hatch,2020,28380,1.0,Flex,Manual,Hidráulica,4 portas,8,66113000,Belém,Telégrafo Sem Fio,https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/gol-2020-1-0-trend-autoshow-veiculos-wse-894511894,Cinza
"Carros, vans e utilitários",FIAT ARGO DRIVE GSR 1.3 8V FLEX,FIAT,Hatch,2018,20000,1.3,Flex,Automático,Elétrica,4 portas,2,66010010,Belém,Campina,https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/argo-2018-898417233,Branco
"Carros, vans e utilitários",GM - CHEVROLET ONIX,GM - CHEVROLET,Hatch,2018,46511,1.0,Flex,Manual,Elétrica,4 portas,0,66093082,Belém,Marco,https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/onix-2018-1-0-1-mil-de-entrada-aercio-veiculos-gdw-887803396,Vermelho
"Carros, vans e utilitários",FIAT SIENA EL 1.0 MPI FIRE FLEX 8V 4P,FIAT,Sedã,2013,78514,1.0,Flex,Manual,Hidráulica,4 portas,0,66093082,Belém,Marco,https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/siena-2013-1-0-1-mil-de-entrada-aercio-veiculos-hrf-888716389,Preto
"Carros, vans e utilitários",GM - CHEVROLET AGILE LTZ 1.4 MPFI 8V FLEXPOWER 5P,GM - CHEVROLET,Hatch,2013,78,1.4,Flex,Manual,Hidráulica,4 portas,7,66093082,Belém,Marco,https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/agile-2013-1-4-1-mil-de-entrada-aercio-veiculoslo-848854127,Preto
"Carros, vans e utilitários",CITROEN C3 PICASSO GLX 1.6 FLEX 16V 5P MEC.,CITROEN,SUV,2012,79,1.6,Flex,Manual,Elétrica,4 portas,9,66093082,Belém,Marco,https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/c3-picasso-2012-1-mil-de-entrada-aercio-veiculos-jig-857903572,Azul
"Carros, vans e utilitários",FIAT PUNTO,FIAT,Hatch,2012,68,1.4,Flex,Manual,Hidráulica,4 portas,9,66093082,Belém,Marco,https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/punto-1-4-2012-1-mil-de-entrada-aercio-veiculosx-840908484,Prata
"Carros, vans e utilitários",HONDA FIT EX/S/EX 1.5 FLEX/FLEXONE 16V 5P AUT.,HONDA,Hatch,2013,79,1.5,Flex,Automático,Elétrica,4 portas,9,66093082,Belém,Marco,https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/honda-fit-2013-ex-automatico-1-mil-de-entrada-aercio-veiculos-hlo-860745702,Preto
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL 1.0 FLEX 12V 5P,VW - VOLKSWAGEN,,2017,84776,,Flex,Manual,,4 portas,3,66040033,Belém,Cremação,https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-gol-1-0-12v-mpi-totalflex-trendline-4p-manual-886615175,
"Carros, vans e utilitários",FIAT IDEA ATTRACTIVE 1.4 FIRE FLEX 8V 5P,FIAT,Hatch,2012,83,1.4,Flex,Manual,Hidráulica,4 portas,7,66093082,Belém,Marco,https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/idea-1-4-2012-1-mil-de-entrada-aercio-veiculos-vxs-861331268,Vermelho
"Carros, vans e utilitários",CITROEN C3 PICASSO GLX 1.6 FLEX 16V 5P MEC.,CITROEN,SUV,2012,78415,1.6,Flex,Manual,Elétrica,4 portas,0,66093082,Belém,Marco,https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/c3-picasso-2012-1-mil-de-entrada-aercio-veiculos-bww-888241432,Azul
"Carros, vans e utilitários",KIA MOTORS SPORTAGE,KIA MOTORS,,2013,39900,,Flex,Automático,,4 portas,,66010000,Belém,Campina,https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/kia-sportage-ex-898416562,Cinza
"Carros, vans e utilitários",FORD ,FORD,,2017,100,,,,,,,66613080,Belém,Souza,https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/promocao-de-carros-e-motos-semi-novos-898416114,
"Carros, vans e utilitários",GM - CHEVROLET PRISMA SED. JOY/ LS 1.0 8V FLEXPOWER 4P,GM - CHEVROLET,Sedã,2017,56369,1.6,Flex,Manual,Elétrica,4 portas,6,68798000,Santa Bárbara do Pará,,https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/v-prisma-joy-2017-884643066,Preto
"Carros, vans e utilitários",VW - VOLKSWAGEN TIGUAN,VW - VOLKSWAGEN,Passeio,2020,26800,1.4,Flex,Automático,Mecânica,4 portas,5,67113330,Ananindeua,Coqueiro,https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-tiguan-2020-1-4-250-tsi-total-flex-allspace-comfortline-tiptronic-833795226,Cinza
"Carros, vans e utilitários",HYUNDAI HB20,HYUNDAI,Hatch,2019,3,1.0,Flex,Manual,Hidráulica,4 portas,,66113003,Belém,Telégrafo Sem Fio,https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/oferta-relampago-hyundai-hb20-1-0-unique-ano-2019-898416204,
"Carros, vans e utilitários",GM - CHEVROLET CELTA SPIRIT/ LT 1.0 MPFI 8V FLEXP. 5P,GM - CHEVROLET,Hatch,2013,80000,1.0,Flex,Manual,Hidráulica,4 portas,8,66113240,Belém,Telégrafo Sem Fio,https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/celta-lt-completo-falar-com-gabriel-894188579,Prata
"Carros, vans e utilitários",FIAT FREEMONT 2.4 16V 5P AUT.,FIAT,SUV,2012,109000,2.0 - 2.9,Gasolina,Automático,Hidráulica,4 portas,,66053355,Belém,Reduto,https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/fiat-freemont-2-4-emotion-16v-4p-2011-2012-887132265,Branco
"Carros, vans e utilitários",JAC J2,JAC,Hatch,2014,0,,,,,4 portas,0,67010000,Ananindeua,Guanabara,https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/j2-2014--25-900-aprova-tudo-boulevard-892680464,Branco
"Carros, vans e utilitários",GM - CHEVROLET CRUZE SPORT LTZ 1.4 16V TB FLEX 5P AUT.,GM - CHEVROLET,Hatch,2018,84900,1.6,Flex,Automático,Hidráulica,4 portas,5,66095493,Belém,Marco,https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/cruze-ltz-turbo-sport-2018--84-900-850329329,Prata
"Carros, vans e utilitários",HYUNDAI HB20 VISION 1.0 FLEX 12V MEC,HYUNDAI,Passeio,2021,2400,,Flex,Manual,,4 portas,1,66050000,Belém,Umarizal,https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-0-12v-vision-895793410,
