Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,CEP,Município,Bairro,price,url
"Carros, vans e utilitários",VW - VOLKSWAGEN SAVEIRO 1.6 MI/ 1.6 MI TOTAL FLEX 8V,VW - VOLKSWAGEN,Pick-up,2014,196758,1.6,Flex,Manual,Hidráulica,Branco,2 portas,3,29313690,Cachoeiro de Itapemirim,Marbrasa,36990.0,https://es.olx.com.br/sul-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/saveiro-1-6-2014-898369386
"Carros, vans e utilitários",TOYOTA COROLLA CROSS XRE 2.0 16V FLEX AUT,TOYOTA,SUV,2022,500,,Flex,Automático,Hidráulica,Preto,4 portas,,29046020,Vitória,Gurigica,164900.0,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/corolla-cross-xre-zero-km-a-pronta-entrega-888296286
"Carros, vans e utilitários",GM - CHEVROLET CHEVETTE L / SL / SL/E / DL / SE 1.6,GM - CHEVROLET,Sedã,1992,52000,1.6,Gasolina,Manual,Mecânica,Prata,2 portas,8,29043190,Vitória,Maruípe,7500.0,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/chevette-92-1-6-s-898689101
"Carros, vans e utilitários",TOYOTA COROLLA XEI 1.8/1.8 FLEX 16V AUT.,TOYOTA,Sedã,2006,150000,1.8,Gasolina,Automático,Hidráulica,Outra,4 portas,0,29903202,Linhares,Interlagos,30000.0,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/vendo-corola-impecavel-898689128
"Carros, vans e utilitários",RENAULT DUSTER EXPRESSION 1.6 HI-FLEX 16V MEC.,RENAULT,SUV,2015,90000,1.6,Flex,Manual,Hidráulica,Branco,4 portas,3,29140080,Cariacica,Jardim América,40000.0,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/duster-1-6-manual-2015-897953880
"Carros, vans e utilitários",VW - VOLKSWAGEN UP! EXTREME 1.0 TSI TOTAL FLEX 12V 5P,VW - VOLKSWAGEN,Hatch,2020,17000,1.0,Flex,Automático,Hidráulica,Branco,4 portas,8,29161275,Serra,Jacuhy,62000.0,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/up-up-tsi-extreme-2020-897941712
"Carros, vans e utilitários",GM - CHEVROLET CORSA HAT. MAXX 1.4 8V ECONOFLEX 5P,GM - CHEVROLET,Hatch,2011,140000,1.4,Flex,Manual,Hidráulica,Cinza,4 portas,5,29140080,Cariacica,Jardim América,25900.0,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-corsa-maxx-hatch-1-4-2011-todo-revisado-e-todo-revisado-897953487
"Carros, vans e utilitários",CITROEN JUMPER 2.8 16LUG.  DIESEL,CITROEN,,2013,160000,2.0 - 2.9,Diesel,Manual,Hidráulica,Branco,4 portas,2,29163165,Serra,São Diogo II,72990.0,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/citroen-jumper-m33m-23s-diesel-motor-e-bicos-injetores-novos-845051052
"Carros, vans e utilitários",MITSUBISHI OUTLANDER 2.2 165CV DIESEL AUT.,MITSUBISHI,SUV,2016,81800,2.0 - 2.9,Diesel,Automático,Hidráulica,Branco,4 portas,,29161278,Serra,Jacuhy,138900.0,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/outlander-2-2-diesel-4x4-automatico-898688846
"Carros, vans e utilitários",FORD FIESTA,FORD,,2009,74723,1.0,Flex,Manual,Hidráulica,Prata,4 portas,3,29119015,Vila Velha,Ataíde,24900.0,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/ford-fiesta-1-0-mpi-sedan-8v-flex-4p-manual-857989667
,,,,,,,,,,,,,,,,,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/hillux-srx-898688392
"Carros, vans e utilitários",KIA MOTORS SORENTO 3.5 V6 24V 278CV 4X4 AUT.,KIA MOTORS,SUV,2012,116000,3.0 - 3.9,Gasolina,Automático,Hidráulica,Preto,4 portas,,29108013,Vila Velha,Santa Inês,58900.0,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/sorento-ex2-3-5-awd-top-super-conservado-878455400
"Carros, vans e utilitários",HYUNDAI HB20 5 ANOS 1.6 FLEX 16V AUT.,HYUNDAI,Hatch,2018,29500,1.6,Flex,Automático,Elétrica,Branco,4 portas,4,29090090,Vitória,Jardim Camburi,63990.0,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-6-automatico-comfort-style-serie-5-anos--impecavel-791427024
"Carros, vans e utilitários",CITROEN XSARA EXCLUSIVE 2.0 16V,CITROEN,Passeio,2002,234,2.0 - 2.9,Gasolina,Manual,Hidráulica,Preto,4 portas,7,29164077,Serra,Jardim Limoeiro,13500.0,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/xsara-picasso-898688689
"Carros, vans e utilitários",FIAT ARGO DRIVE 1.0 6V FLEX,FIAT,Hatch,2020,20000,1.0,Flex,Manual,Elétrica,Preto,4 portas,8,29108013,Vila Velha,Santa Inês,54900.0,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/fiat-argo-drive-1-0-firefly-apenas-km20-000-871397243
"Carros, vans e utilitários",HONDA HR-V LX 1.8 FLEXONE 16V 5P AUT.,HONDA,SUV,2019,21800,1.8,Flex,Automático,Elétrica,Branco,4 portas,6,29100290,Vila Velha,Centro de Vila Velha,103990.0,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/honda-hr-v-lx-1-8-flexone-automatica-2019-apenas-21-800-km-874130140
"Carros, vans e utilitários",HYUNDAI HB20 C./C.PLUS/C.STYLE 1.6 FLEX 16V MEC.,HYUNDAI,Hatch,2019,41158,1.6,Flex,Manual,Hidráulica,Branco,4 portas,2,29120568,Vila Velha,Aribiri,54990.0,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/oportunidade-unica-hb20-conf-1-6-2019-2019-880414224
"Carros, vans e utilitários",VW - VOLKSWAGEN POLO COMFORT. 200 TSI 1.0 FLEX 12V AUT.,VW - VOLKSWAGEN,Hatch,2018,13000,1.0,Flex,Automático,Elétrica,Prata,4 portas,,29162703,Serra,Planalto de Carapina,77900.0,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/polo-tsi-1-0-turbo-2018-893468639
"Carros, vans e utilitários",TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Sedã,2017,92000,2.0 - 2.9,Flex,Automático,Hidráulica,Branco,4 portas,0,29702805,Colatina,Adélia Giuberti,86000.0,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/toyota-corolla-xei-2-0-flex-894650451
"Carros, vans e utilitários",VW - VOLKSWAGEN AMAROK HIGHLINE CD 2.0 16V TDI 4X4 DIES.,VW - VOLKSWAGEN,Passeio,2016,115241,,Diesel,Automático,,,4 portas,9,29703100,Colatina,São Silvano,126900.0,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/amarok-2015-2016-2-0-highline-4x4-cd-16v-turbo-intercooler-diesel-4p-automatico-886565674
"Carros, vans e utilitários",FIAT PALIO 1.5 MPI 8V 4P,FIAT,,2015,170,,Gasolina,Manual,,,4 portas,,29135026,Viana,Canaã,,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/vende-se-carro-ou-troco-em-lote-no-bairro-jockey-vila-velha-898687749
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL (NOVO) 1.0 MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,Hatch,2008,67805,1.0,Flex,Manual,Hidráulica,Vermelho,4 portas,4,29345000,Marataízes,,23000.0,https://es.olx.com.br/sul-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/vendo-ou-troco-898687755
