Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,CEP,Município,Bairro,price,url,Portas,Final de placa
"Carros, vans e utilitários",FORD KA 1.5 SEDAN SE 12V FLEX 4P MEC.,FORD,Sedã,2016,96739,1.5,Flex,Manual,Hidráulica,Branco,57080548,Maceió,Jardim Petrópolis,43000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-sedan-1-5-2016-833109610,,
"Carros, vans e utilitários",GM - CHEVROLET KADETT GL/SL/LITE/TURIM 1.8,GM - CHEVROLET,Antigo,1993,3000,1.8,Gasolina,Manual,Mecânica,Verde,57036380,Maceió,Jatiúca,12000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/vende-se-kadett-895791427,2 portas,7
"Carros, vans e utilitários",HONDA FIT LXL 1.4/ 1.4 FLEX 8V/16V 5P MEC.,HONDA,Hatch,2010,97000,1.4,Flex,Manual,Hidráulica,Preto,57052760,Maceió,Gruta de Lourdes,31000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/honda-fit-2010-895790231,,8
"Carros, vans e utilitários",VW - VOLKSWAGEN SPACEFOX 1.6/ 1.6 TREND TOTAL FLEX 8V 5P,VW - VOLKSWAGEN,Sedã,2009,134641,1.6,Flex,Manual,Hidráulica,Cinza,57048074,Maceió,Antares,20500.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/vendo-spacefox-895799265,4 portas,5
"Carros, vans e utilitários",FIAT MOBI DRIVE 1.0 FLEX 6V 5P,FIAT,Hatch,2018,105760,1.0,Flex,Manual,Elétrica,Branco,57052400,Maceió,Gruta de Lourdes,41900.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/mobi-drive-2018-890654499,4 portas,0
"Carros, vans e utilitários",GM - CHEVROLET CELTA 1.0/ SUPER 1.0 MPFI VHC 8V 5P,GM - CHEVROLET,Van/Utilitário,2007,0,1.0,Flex,Manual,Hidráulica,Preto,57073451,Maceió,Cidade Universitária,11000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/vende-se-ou-troco-895782976,2 portas,2
"Carros, vans e utilitários",MITSUBISHI ASX 2.0 16V 4X4 160CV AUT.,MITSUBISHI,SUV,2013,90300,2.0 - 2.9,Gasolina,Automático,Elétrica,Cinza,57030085,Maceió,Pajuçara,56000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/asx-4x4-agio-ou-quitada-895783956,4 portas,2
"Carros, vans e utilitários",FORD FIESTA 1.0 8V FLEX/CLASS 1.0 8V FLEX 5P,FORD,Passeio,2008,145,1.0,Flex,Manual,Hidráulica,Preto,57073451,Maceió,Cidade Universitária,14000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/vende-se-ou-troco-895780994,4 portas,2
"Carros, vans e utilitários",VW - VOLKSWAGEN TIGUAN,VW - VOLKSWAGEN,Passeio,2019,36340,1.4,Flex,Automático,Hidráulica,Branco,57655000,Taquarana,Centro,148590.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-tiguan-2019-1-4-250-tsi-total-flex-allspace-comfortline-tiptronic-836727424,4 portas,8
"Carros, vans e utilitários",FIAT ,FIAT,Passeio,2015,123000,1.6,Flex,Manual,Hidráulica,Prata,57072450,Maceió,Cidade Universitária,33000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/palio-weekend-2015-895780482,4 portas,7
"Carros, vans e utilitários",GM - CHEVROLET PRISMA,GM - CHEVROLET,Sedã,2018,30000,1.4,Flex,Manual,Hidráulica,Prata,57120000,Satuba,,62000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/carro-895770163,4 portas,7
"Carros, vans e utilitários",GM - CHEVROLET S10 P-UP LX/SERT/ROD 2.8 4X4 CD TDI DIES,GM - CHEVROLET,Pick-up,2000,855,4.0 ou mais,Diesel,Manual,Hidráulica,Branco,57074060,Maceió,Cidade Universitária,33000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/s-10-de-luxo-33-000-00-895777490,4 portas,7
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL 1.0 TREND/ POWER 8V 4P,VW - VOLKSWAGEN,Hatch,2013,92000,,Flex,Manual,Hidráulica,Vermelho,57150000,Pilar,,28500.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/gol-carro-extra-895775209,4 portas,9
"Carros, vans e utilitários",RENAULT CLIO EXPRESSION HI-FLEX 1.0 16V 5P,RENAULT,Hatch,2014,83000,1.0,Flex,Manual,Hidráulica,Vermelho,57160000,Marechal Deodoro,,25000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/renault-clio-1-0-16-val-2014-4-portas-25-000-completo-895771101,4 portas,8
"Carros, vans e utilitários",VW - VOLKSWAGEN POLO SEDAN 1.6 MI 101CV 8V 4P,VW - VOLKSWAGEN,Sedã,2004,144000,1.6,Gasolina,Manual,Hidráulica,Prata,57062590,Maceió,Petrópolis,18000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/polo-sedan-1-6-2004-completo-895771795,4 portas,7
"Carros, vans e utilitários",TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Sedã,2019,15000,2.0 - 2.9,Flex,Automático,Hidráulica,Branco,57313862,Arapiraca,Brasília,110000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/corolla-xei-2019-2019-895767124,4 portas,
"Carros, vans e utilitários",FIAT IDEA ATTRACTIVE 1.4 FIRE FLEX 8V 5P,FIAT,Hatch,2011,103000,1.4,Flex,Manual,Hidráulica,Prata,57017185,Maceió,Levada,25000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/fiat-idea-895759958,4 portas,4
