Categoria,Modelo,Marca,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,CEP,Município,Bairro,url,Tipo de veículo
"Carros, vans e utilitários",HYUNDAI 2.0 MPFI GLS 16V 143CV 2WD FLEX 4P AUT,HYUNDAI,2013,87200,2.0 - 2.9,Flex,Automático,Hidráulica,Preto,4 portas,3,73025060,Brasília,Sobradinho,https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hyundai-tucson-2-0-gls-flex-4p-aut-898561312,
"Carros, vans e utilitários",RENAULT KWID 1.0 ZEN,RENAULT,2021,33332,,Flex,Manual,,,4 portas,3,71250035,Brasília,Zona Industrial (Guará),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/kwid-1-0-zen-894533063,
"Carros, vans e utilitários",RENAULT LOGAN AUTHENTIQUE HI-FLEX 1.0 16V 4P,RENAULT,2013,135500,1.0,Flex,Manual,Hidráulica,Prata,4 portas,0,73025060,Brasília,Sobradinho,https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/renault-logan-authentique-1-0-16v-898561315,
"Carros, vans e utilitários",TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,2019,31435,2.0 - 2.9,Flex,Automático,Hidráulica,Cinza,4 portas,2,71560100,Brasília,Setor de Postos e Motéis Norte (Lago Norte),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/toyota-corolla-2-0-xei-multi-drive-s-flex-878172772,Passeio
"Carros, vans e utilitários",FIAT UNO MILLE WAY ECONOMY 1.0 F.FLEX 4P,FIAT,2013,141000,1.0,Flex,Manual,Mecânica,Vermelho,4 portas,0,72125090,Brasília,Taguatinga Norte (Taguatinga),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-mille-way-2013-898560947,Hatch
"Carros, vans e utilitários",FORD ECOSPORT FREESTYLE 1.5 12V FLEX 5P AUT.,FORD,2019,26886,1.5,Flex,Automático,Elétrica,Prata,4 portas,8,71200010,Brasília,Zona Industrial (Guará),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-ecosport-fsl-at-1-5-880125598,
"Carros, vans e utilitários",FORD RANGER XLS 2.2 4X4 CD DIESEL AUT.,FORD,2019,106910,2.0 - 2.9,Diesel,Automático,Hidráulica,Branco,4 portas,1,71560100,Brasília,Setor de Postos e Motéis Norte (Lago Norte),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-ranger-cabine-dupla-ranger-2-2-td-xls-cd-4x4-aut-895494697,Passeio
"Carros, vans e utilitários",NISSAN SV 2.0 16V CVT (FLEX),NISSAN,2017,63038,2.0 - 2.9,Flex,Automático,Hidráulica,Prata,4 portas,1,71215100,Brasília,Zona Industrial (Guará),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/nissan-sentra-sv-2-0-16v-cvt-flex-880988525,Passeio
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL (NOVO) 1.0 MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,2013,59800,1.0,Flex,Manual,Hidráulica,Vermelho,4 portas,7,72115530,Brasília,Taguatinga Norte (Taguatinga),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/gol-novo-1-0-mi-total-flex-8v-4p-2012-2013-km-59800-unico-dono-897721627,Hatch
"Carros, vans e utilitários",JEEP COMPASS LONGITUDE 2.0 4X2 FLEX 16V AUT.,JEEP,2020,23000,2.0 - 2.9,Flex,Automático,Elétrica,Branco,4 portas,0,71680370,Brasília,Setor Habitacional Jardim Botânico,https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/jeep-compass-longitude-2019-2020-com-23-mil-km-897750351,SUV
"Carros, vans e utilitários",MITSUBISHI L200 TRITON HPE 3.5 CD V6 24V FLEX AUT.,MITSUBISHI,2012,130000,3.0 - 3.9,Flex,Automático,Hidráulica,Branco,4 portas,9,72006235,Brasília,Setor Habitacional Vicente Pires,https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/mitsubishi-l200-triton-2012-hpe-vendo-a-vista-ou-financiado-ac-troca-883004717,Pick-up
