Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,CEP,Município,Bairro,url,Potência do motor
"Carros, vans e utilitários",JEEP STD 1.8 4X2 FLEX 16V AUT,JEEP,SUV,2021,4774,Flex,Automático,Elétrica,Branco,4 portas,6,78115800,Várzea Grande,Ponte Nova,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/jeep-renegade-std-flex-automatico-4p-884114404,
"Carros, vans e utilitários",FIAT PALIO 1.0 ECONOMY FIRE FLEX 8V 4P,FIAT,Hatch,2014,100000,Flex,Manual,Hidráulica,Branco,4 portas,,78118060,Várzea Grande,Cristo Rei,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/palio-entrada-de-r-5-000-892139940,1.0
"Carros, vans e utilitários",GM - CHEVROLET AGILE LT 1.4 MPFI 8V FLEXPOWER 5P,GM - CHEVROLET,Hatch,2011,141231,Flex,Manual,Hidráulica,Preto,,2,78195000,Chapada dos Guimarães,,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/agile-lt-1-4-r-19-990-894800728,1.4
"Carros, vans e utilitários",VW - VOLKSWAGEN FOX SPORTLINE/SPORTS 1.6/1.6 TOT.FLEX 4P,VW - VOLKSWAGEN,Hatch,2014,74000,Flex,Automático,Hidráulica,Branco,4 portas,8,78455000,Lucas do Rio Verde,,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-fox-2014-automatico-895696004,1.6
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL (NOVO) 1.0 MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,,2014,101000,Flex,Manual,Hidráulica,Branco,4 portas,5,78125152,Várzea Grande,Centro-Sul,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-gol-1-0-mi-16v-4p-894547533,1.0
"Carros, vans e utilitários",RENAULT DUSTER EXPRESSION1.6 FLEX 16V AUT.,RENAULT,Van/Utilitário,2018,99000,Flex,Semi-Automático,Hidráulica,Branco,4 portas,5,78117440,Várzea Grande,Cristo Rei,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/duster-cvt-expression-2018-858131726,1.6
"Carros, vans e utilitários",FIAT SIENA EL 1.4 MPI FIRE FLEX 8V 4P,FIAT,Sedã,2015,1,Flex,Manual,Hidráulica,Branco,,6,78557010,Sinop,Res Brasília,https://mt.olx.com.br/regiao-de-rondonopolis-e-sinop/autos-e-pecas/carros-vans-e-utilitarios/siena-el-1-4-897291974,1.4
"Carros, vans e utilitários",GM - CHEVROLET BLAZER,GM - CHEVROLET,SUV,2001,250000,Diesel,Manual,Hidráulica,Prata,4 portas,,78088525,Cuiabá,Altos do Coxipó,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/blazer-dlx-2-8-4-4-diesel-897290221,2.0 - 2.9
"Carros, vans e utilitários",GM - CHEVROLET S10 PICK-UP LT 2.5 FLEX 4X4 CD,GM - CHEVROLET,,2017,131,Flex,Manual,Hidráulica,Prata,4 portas,0,78115295,Várzea Grande,Ponte Nova,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-s10-2-5-4x4-lt-2016-2017-891300810,2.0 - 2.9
"Carros, vans e utilitários",FORD ECOSPORT STORM 2.0 4WD 16V FLEX 5P AUT.,FORD,Passeio,2020,53077,Flex,Automático,,,4 portas,7,78015600,Cuiabá,Poção,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/ecosport-2019-2020-2-0-direct-flex-storm-4wd-automatico-897289940,
