Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,CEP,Município,Bairro,url,Final de placa
"Carros, vans e utilitários",HONDA CIVIC SEDAN EX 2.0 FLEX 16V AUT.4P,HONDA,Sedã,2019,15000,2.0 - 2.9,Flex,Automático,Elétrica,Preto,4 portas,76803750,Porto Velho,São João Bosco,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/civic-ex-2019-apenas-15-000-km-893791279,
"Carros, vans e utilitários",GM - CHEVROLET VECTRA EXPRESSION 2.0 MPFI FLEXPOWER MEC,GM - CHEVROLET,Sedã,2008,0,2.0 - 2.9,Gasolina,Manual,Hidráulica,Prata,4 portas,76829674,Porto Velho,Lagoinha,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/vectra-expression-completo-893777659,1
"Carros, vans e utilitários",VW - VOLKSWAGEN UP! TAKE 1.0 TOTAL FLEX 12V 5P,VW - VOLKSWAGEN,Hatch,2015,100000,1.0,Flex,Manual,Hidráulica,Branco,4 portas,76890000,Jaru,,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/up-take-893786857,7
"Carros, vans e utilitários",FIAT STRADA WORKING 1.4 MPI FIRE FLEX 8V CD,FIAT,Pick-up,2014,90000,1.4,Flex,Manual,Hidráulica,Branco,2 portas,76924000,Nova União,,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/vende-se-fiat-strada-893768585,3
"Carros, vans e utilitários",FIAT IDEA ADV.EXT./ADV.EXT. LOC. 1.8 FLEX 5P,FIAT,Hatch,2013,40000,1.8,Flex,Automático,Hidráulica,Verde,4 portas,76890000,Jaru,,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/carro-893761821,7
"Carros, vans e utilitários",FIAT SIENA ELX 1.0 MPI FIRE/FIRE FLEX 8V 4P,FIAT,Passeio,2007,125869,1.0,Flex,Manual,Mecânica,Branco,4 portas,76812476,Porto Velho,Três Marias,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/siena-2007-2007-1-0-em-dias-893767492,4
"Carros, vans e utilitários",HYUNDAI HB20S EVOLUTION 1.0 TB FLEX 12V AUT,HYUNDAI,Sedã,2022,111,1.0,,Manual,,Prata,,76829442,Porto Velho,Juscelino Kubitschek,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/hb20s-evoluton-1-0-turbo-zero-km-886534543,5
"Carros, vans e utilitários",GM - CHEVROLET PRISMA SED. LT 1.4 8V FLEXPOWER 4P,GM - CHEVROLET,Sedã,2017,64000,1.4,Flex,Manual,Elétrica,Preto,4 portas,76821468,Porto Velho,Rio Madeira,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/excelente-para-aplicativo-prisma-lt-1-4-893761568,1
"Carros, vans e utilitários",HYUNDAI HB20 UNIQUE 1.0 FLEX 12V MEC.,HYUNDAI,Hatch,2019,55000,1.0,Flex,Manual,Elétrica,Branco,4 portas,76821468,Porto Velho,Rio Madeira,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/vendo-ou-troco-hb20-unique-893761293,4
"Carros, vans e utilitários",HONDA FIT EXL 1.5 FLEX/FLEXONE 16V 5P AUT,HONDA,Passeio,2019,18500,1.5,Flex,Automático,Elétrica,Prata,4 portas,76829441,Porto Velho,Juscelino Kubitschek,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/honda-fit-exl-18-19-893757786,
"Carros, vans e utilitários",SUBARU ,SUBARU,Hatch,2009,58000,2.0 - 2.9,Gasolina,Manual,Hidráulica,Cinza,,76980108,Vilhena,Centro (S-01),https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/subaru-wrx-reliquia-893759605,
"Carros, vans e utilitários",MITSUBISHI L200 OUTDOOR HPE 2.5 4X4 CD T.DIES. MEC.,MITSUBISHI,,2009,100000,2.0 - 2.9,Diesel,Manual,Hidráulica,Preto,4 portas,76811556,Porto Velho,Castanheira,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/l200-893746868,9
"Carros, vans e utilitários",FORD KA TRAIL 1.0 12V FLEX MEC. 5P,FORD,Sedã,2015,7000,1.0,Flex,Manual,,Vermelho,4 portas,76850000,Guajará-Mirim,,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-se-1-0-sd-2015-2015-893727436,8
"Carros, vans e utilitários",GM - CHEVROLET CLASSIC ADVANTAGE 1.0 VHC FLEXPOWER 4P,GM - CHEVROLET,Passeio,2007,148742,1.0,Flex,Manual,Mecânica,Prata,4 portas,76974000,Espigão D'Oeste,,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/vendo-ou-troco-893726748,9
