Categoria,Modelo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Portas,CEP,Município,Bairro,price,url,Marca,Cor,Tipo de veículo,Final de placa
"Carros, vans e utilitários", ,2021,15000,2.0 - 2.9,Flex,Automático,Hidráulica,4 portas,59037000,Natal,Alecrim,130900.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/corolla-2-0-xei-2021-automatico-867173748,,,,
"Carros, vans e utilitários",BMW 320IA 2.0 TB M SPORT ACTIVEFLEX 16V 4P,2018,45000,2.0 - 2.9,Gasolina,Automático,Hidráulica,4 portas,59078110,Natal,Capim Macio,149800.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/bmw-320i-2-0-sport-gp-16v-turbo-active-flex-4p-automatico-891104437,BMW,Preto,,
"Carros, vans e utilitários",GM - CHEVROLET CELTA,2010,87000,1.0,Flex,Manual,Mecânica,4 portas,59086005,Natal,Neópolis,22990.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-celta-2010-1-0-mpfi-life-8v-flex-4p-manual-881704725,GM - CHEVROLET,Preto,Passeio,1
"Carros, vans e utilitários",TOYOTA ETIOS X 1.3 FLEX 16V 5P MEC.,2016,85346,1.3,Flex,Manual,Hidráulica,4 portas,59066285,Natal,Pitimbu,39990.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/toyota-etios-x-1-3-2016-871499025,TOYOTA,Branco,Hatch,1
"Carros, vans e utilitários",RENAULT LOGAN AUTHENTIQUE HI-FLEX 1.0 16V 4P,2011,240000,1.0,Flex,Manual,Hidráulica,4 portas,59035470,Natal,Quintas,10000.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/contrato-de-cartorio-897993697,RENAULT,Vermelho,Sedã,8
"Carros, vans e utilitários",FIAT TORO,2021,870,2.0 - 2.9,Diesel,Automático,Elétrica,4 portas,59086005,Natal,Neópolis,169990.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/fiat-toro-2021-2-0-16v-turbo-diesel-ultra-4wd-at9-880080368,FIAT,Branco,Passeio,1
"Carros, vans e utilitários",TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,2019,22000,2.0 - 2.9,Flex,Automático,Elétrica,4 portas,59054000,Natal,Dix-Sept Rosado,104999.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/toyota-corolla-xei-2019-raridade-km-22-000-891118636,TOYOTA,Cinza,Sedã,4
"Carros, vans e utilitários",RENAULT SANDERO STEPWAY EXP. FLEX 1.6 16V 5P,2019,32000,,Flex,Manual,,4 portas,59066180,Natal,Candelária,51990.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/sandero-2019-2019-1-6-16v-sce-flex-stepway-expression-manual-815946082,RENAULT,,Passeio,4
"Carros, vans e utilitários",TOYOTA XL LIVE SEDAN 1.5 FLEX 16V 4P AUT,2019,25000,,Flex,Automático,,4 portas,59066180,Natal,Candelária,75990.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/yaris-2019-2019-1-5-16v-flex-sedan-xl-multidrive-890877699,TOYOTA,,Passeio,9
"Carros, vans e utilitários",JEEP RENEGADE1.8 4X2 FLEX 16V AUT.,2021,0,,Flex,Automático,,4 portas,59066180,Natal,Candelária,96990.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/renegade-2021-2021-1-8-16v-flex-std-4p-automatico-890892351,JEEP,,Passeio,
"Carros, vans e utilitários",RENAULT CLIO,2012,109000,1.0,Flex,Manual,Mecânica,2 portas,59150600,Parnamirim,Nova Parnamirim,16000.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/clio-2012-897984858,RENAULT,,Hatch,
"Carros, vans e utilitários",RENAULT SANDERO STEPWAY TWEED HFLEX 1.6 8V 5P,2016,38500,,Flex,Automático,,4 portas,59066180,Natal,Candelária,49900.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/sandero-2015-2016-1-6-stepway-8v-flex-4p-automatizado-890859092,RENAULT,,Passeio,5
"Carros, vans e utilitários",HONDA CIVIC SEDAN LX/LXL 1.7 16V 115CV AUT. 4P,2006,205749,1.7,Gasolina,Automático,Hidráulica,4 portas,59056300,Natal,Lagoa Nova,24900.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-lx-1-7-automatico-842056040,HONDA,Preto,Sedã,0
"Carros, vans e utilitários",FORD KA 1.0 SE/SE PLUS TIVCT FLEX 5P,2020,15000,1.0,Flex,Manual,Hidráulica,4 portas,59086005,Natal,Neópolis,48900.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/ka-2020-unico-dono-1-0-com-15-mil-km-887685019,FORD,Branco,Hatch,7
"Carros, vans e utilitários",BMW 320IA 2.0 TURBO/ACTIVEFLEX 16V 184CV  4P,2013,65000,2.0 - 2.9,Gasolina,Automático,Elétrica,4 portas,59086005,Natal,Neópolis,49700.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/bmw-320i-897990202,BMW,Branco,Sedã,8
"Carros, vans e utilitários",GM - CHEVROLET CELTA LIFE 1.0 MPFI VHC 8V 5P,2011,143000,1.0,Flex,Manual,Mecânica,2 portas,59056630,Natal,Lagoa Nova,18000.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/celta-2010-2011-897986058,GM - CHEVROLET,Prata,Hatch,5
"Carros, vans e utilitários",FORD KA 1.5 SE 12V FLEX 5P MEC.,2015,80000,1.5,Flex,Manual,Elétrica,4 portas,59611090,Mossoró,Santo Antônio,38500.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-se-1-5-ha-carro-de-uso-particular-897984276,FORD,Prata,Hatch,3
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL CITY 1.0 TOTAL FLEX 12V 4P,2014,91000,1.0,Flex,Manual,Hidráulica,4 portas,59042120,Natal,Nordeste,29000.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/gol-g6-897982866,VW - VOLKSWAGEN,Preto,Passeio,6
"Carros, vans e utilitários",FORD ECOSPORT FREESTYLE 1.6 16V FLEX 5P,2014,147000,1.6,Flex,Manual,Hidráulica,4 portas,59086005,Natal,Neópolis,49900.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/ecosport-freestyle-2014-894770897,FORD,Branco,SUV,0
"Carros, vans e utilitários",FIAT SIENA 1.5 MPI 8V 4P,2011,0,1.0,Flex,Manual,Hidráulica,4 portas,59030050,Natal,Alecrim,20000.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/fiat-siena-2011-897981886,FIAT,Preto,,5
"Carros, vans e utilitários",FORD ECOSPORT XL 1.6/ 1.6 FLEX 8V 5P,2007,175730,1.6,Flex,Manual,Hidráulica,4 portas,59030350,Natal,Alecrim,19000.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/ecosport-xl-1-6-flex-possivel-financiar-895281869,FORD,Preto,Hatch,6
"Carros, vans e utilitários",VW - VOLKSWAGEN VIRTUS 1.6 MSI FLEX 16V 5P MEC.,2019,92042,1.6,Flex,Manual,Elétrica,4 portas,59056450,Natal,Lagoa Nova,63490.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/virtus-msi-1-6-manual-flex-2018-2019-852905360,VW - VOLKSWAGEN,Prata,Sedã,
"Carros, vans e utilitários",GM - CHEVROLET ONIX HATCH LT 1.4 8V FLEXPOWER 5P MEC.,2015,83374,1.4,Flex,Manual,Hidráulica,4 portas,59075700,Natal,Lagoa Nova,47500.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-hatch-lt-1-4-8v-flexpower-5p-mec-880974237,GM - CHEVROLET,Preto,Passeio,4
"Carros, vans e utilitários",FIAT STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,2019,77000,,Flex,Manual,,2 portas,59148610,Parnamirim,Emaús,53990.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/strada-2018-2019-1-4-mpi-hard-working-cs-8v-flex-2p-manual-859013481,FIAT,,Passeio,5
"Carros, vans e utilitários",GM - CHEVROLET HATCH PREM. 1.0 12V TB FLEX 5P AUT,2020,7000,1.0,Flex,Automático,Elétrica,4 portas,59148550,Parnamirim,Emaús,78400.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/vendo-onix-premier-i-2020-licenciado-2021-897981573,GM - CHEVROLET,Prata,Hatch,1
"Carros, vans e utilitários",GM - CHEVROLET CLASSIC LIFE/LS 1.0 VHC FLEXP. 4P,2011,136000,1.0,Flex,Manual,Hidráulica,4 portas,59149105,Parnamirim,Emaús,21500.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/classic-ano-2011-888928791,GM - CHEVROLET,Verde,Sedã,8
"Carros, vans e utilitários",GM - CHEVROLET S10 PICK-UP LTZ 2.8 TDI 4X4 CD DIES.AUT,2018,170593,2.0 - 2.9,Diesel,Automático,Elétrica,4 portas,59056450,Natal,Lagoa Nova,158000.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/nova-s10-877316941,GM - CHEVROLET,Prata,Pick-up,5
"Carros, vans e utilitários",HYUNDAI HB20 5 ANOS 1.6 FLEX 16V AUT.,2015,58900,1.6,Flex,Automático,Hidráulica,4 portas,59200000,Santa Cruz,,45990.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-6-automatico-confort-891141773,HYUNDAI,Prata,Hatch,8
"Carros, vans e utilitários",RENAULT SANDERO AUTHENTIQUE HI-FLEX 1.0 16V 5P,2017,86000,1.0,Flex,Manual,Hidráulica,4 portas,59030660,Natal,Barro Vermelho,36900.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/sandero-2017-880657448,RENAULT,Cinza,Hatch,2
"Carros, vans e utilitários",GM - CHEVROLET PRISMA SED. ADVANT. 1.4 8V F.POWER AUT.,2019,37000,1.4,Flex,Automático,Hidráulica,4 portas,59149195,Parnamirim,Emaús,63500.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/prisma-1-4-advantage-aut-2019-895539921,GM - CHEVROLET,Branco,Sedã,5
"Carros, vans e utilitários",FORD KA+,2019,23198,1.5,Flex,Automático,Elétrica,4 portas,59152600,Parnamirim,Nova Parnamirim,59900.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-se-aut-1-5-2019-879445702,FORD,Branco,Sedã,4
"Carros, vans e utilitários",FIAT UNO ATTRACTI. CELEB.1.4 EVO F.FLEX 8V 4P,1996,130963,1.0,Gasolina,Manual,Mecânica,4 portas,59150000,Parnamirim,Emaús,7000.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/vende-se-ou-troca-em-moto-897978949,FIAT,Vermelho,Conversível,8
"Carros, vans e utilitários",GM - CHEVROLET ONIX HATCH LT 1.0 8V FLEXPOWER 5P MEC.,2022,0,1.0,Flex,Manual,Elétrica,4 portas,59056450,Natal,Lagoa Nova,68520.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/onix-hatch-lt-2-0-km-2022-887275150,GM - CHEVROLET,Preto,Hatch,
"Carros, vans e utilitários",GM - CHEVROLET MONTANA LS 1.4 ECONOFLEX 8V 2P,2015,79152,1.4,Flex,Manual,Hidráulica,2 portas,59030600,Natal,Alecrim,37990.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/montana-1-4-2015-15-completo-extra-859381998,GM - CHEVROLET,Prata,Pick-up,6
"Carros, vans e utilitários",VW - VOLKSWAGEN T-CROSS COMFORTLINE 1.0 TSI FLEX 5P AUT.,2021,0,1.0,Flex,Automático,Elétrica,4 portas,59600260,Mossoró,Alto da Conceição,129990.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/t-cross-comfortline-880485058,VW - VOLKSWAGEN,Cinza,SUV,1
"Carros, vans e utilitários",CITROEN C3 ORIGINE 1.5 FLEX 8V 5P MEC.,2013,72000,1.5,Flex,Manual,Hidráulica,4 portas,59022530,Natal,Barro Vermelho,29900.0,https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/citroen-c3-origine-897978734,CITROEN,Preto,Hatch,5
