Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,CEP,Município,price,url,Bairro
"Carros, vans e utilitários",FORD KA 1.0 SE/SE PLUS TIVCT FLEX 5P,FORD,Sedã,2019,46000,1.0,Flex,Manual,Elétrica,Branco,4 portas,5,58310000,Cabedelo,46900.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-se-sedan-2019-881742297,
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL 1.0 FLEX 12V 5P,VW - VOLKSWAGEN,Passeio,2020,44963,,Flex,Manual,,,4 portas,1,58033907,João Pessoa,47900.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/gol-2019-2020-1-0-12v-mpi-totalflex-4p-manual-822904005,Brisamar
"Carros, vans e utilitários",FIAT LINEA 1.9/ HLX 1.9/1.8 FLEX  DUALOGIC 4P,FIAT,Sedã,2011,109000,1.8,Flex,Automático,Hidráulica,Prata,4 portas,8,58038080,João Pessoa,25000.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/fiat-linea-hlx-2011-897779673,Manaíra
"Carros, vans e utilitários",FIAT UNO SPORTING 1.4 EVO FIRE FLEX 8V 4P,FIAT,Hatch,2015,90000,1.4,Flex,Manual,Hidráulica,Azul,4 portas,1,58030092,João Pessoa,41900.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/uno-sporting-2015-extraa-872125098,Estados
"Carros, vans e utilitários",BMW X5 M 4.4 4X4 V8 32V BI-TURBO AUT.,BMW,SUV,2010,1,3.0 - 3.9,,Automático,Elétrica,Azul,4 portas,,58033455,João Pessoa,159900.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/x5-m-770610372,Brisamar
"Carros, vans e utilitários",FIAT ARGO,FIAT,Passeio,2020,49434,,Flex,Manual,,,4 portas,9,58033907,João Pessoa,53900.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/fiat-argo-2019-2020-1-0-firefly-flex-drive-manual-840719921,Brisamar
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL 1.0 FLEX 12V 5P,VW - VOLKSWAGEN,Hatch,2020,35000,1.0,Flex,Manual,Elétrica,Branco,4 portas,7,58028880,João Pessoa,48500.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-gol-mpi-2020-unico-dono-833823412,Ipês
"Carros, vans e utilitários",FORD KA MP3 1.0 MPI 8V 65CV,FORD,Hatch,2007,100,1.0,Gasolina,Manual,Mecânica,Branco,2 portas,9,58040490,João Pessoa,10990.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-1-0-mp3-2007-basico-e-o-melhor-financia-sem-entrada-875413343,Torre
"Carros, vans e utilitários",VW - VOLKSWAGEN VIRTUS 1.6 MSI FLEX 16V 5P MEC.,VW - VOLKSWAGEN,Sedã,2021,5200,1.6,Flex,Manual,Hidráulica,Branco,4 portas,0,58032101,João Pessoa,78500.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/virtus-1-6-msi-branco-com-apenas-5-200-km-rodados-896331485,Miramar
"Carros, vans e utilitários",SUZUKI VITARA,SUZUKI,Passeio,1994,50000,,Gasolina,Manual,,Branco,2 portas,9,58046088,João Pessoa,26999.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/vendo-vitara-1994-extra-897769164,Altiplano Cabo Branco
"Carros, vans e utilitários",VW - VOLKSWAGEN FOX TRENDLINE 1.0 FLEX 8V 5P,VW - VOLKSWAGEN,Hatch,2013,0,1.0,Flex,Manual,Hidráulica,Vermelho,4 portas,,58015085,João Pessoa,33800.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/fox-trend-1-0-flex-2013-completo-878295847,Jaguaribe
"Carros, vans e utilitários",GM - CHEVROLET CELTA 1.0/ SUPER 1.0 MPFI VHC 8V 5P,GM - CHEVROLET,,2001,150000,1.0,Gasolina,Manual,Hidráulica,Branco,2 portas,8,58010625,João Pessoa,10000.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/celta-ano-2001completao-897766316,Varadouro
"Carros, vans e utilitários",VW - VOLKSWAGEN UP! TAKE 1.0 TOTAL FLEX 12V 5P,VW - VOLKSWAGEN,Hatch,2017,0,1.0,Flex,Manual,Hidráulica,Branco,4 portas,,58015085,João Pessoa,40800.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/vw-up-take-1-0-flex-2017-completo-860472184,Jaguaribe
"Carros, vans e utilitários",RENAULT LOGAN EXPRESSION FLEX 1.6 16V 4P,RENAULT,Sedã,2018,91787,1.6,Flex,Manual,Hidráulica,Prata,4 portas,8,58037770,João Pessoa,45000.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/renault-logan-expression-1-6-16v-sce-flex-2018-897766200,Jardim Oceania
"Carros, vans e utilitários",TOYOTA COROLLA,TOYOTA,,2018,90000,,,,,,,,58040540,João Pessoa,92990.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/corolla-xei-2018-top-impecavel-gmustang-veiculos-880863231,Torre
"Carros, vans e utilitários",RENAULT DUSTER EXPRESSION1.6 FLEX 16V AUT.,RENAULT,SUV,2020,57363,1.6,Flex,Automático,Elétrica,Prata,4 portas,9,58030021,João Pessoa,81900.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/duster-1-6-automatica-2020-871387369,Estados
"Carros, vans e utilitários",GM - CHEVROLET PRISMA SED. LTZ 1.4 8V FLEXPOWER 4P AUT.,GM - CHEVROLET,Sedã,2018,11111111,1.4,Flex,Automático,Hidráulica,Preto,4 portas,3,58407475,Campina Grande,61490.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/prisma-ltz-automatico-883674096,José Pinheiro
"Carros, vans e utilitários",VW - VOLKSWAGEN GOLF 1.6 MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,,2004,182462,1.6,Gasolina,Manual,,Prata,4 portas,4,58110042,Bayeux,20000.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/carro-golf-2004-896343028,Centro
"Carros, vans e utilitários",FIAT UNO SPORTING 1.4 EVO FIRE FLEX 8V 4P,FIAT,Hatch,2014,0,1.4,Flex,Manual,Hidráulica,Branco,4 portas,0,58050690,João Pessoa,34900.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/uno-1-4-sporting-2014-completo-833693834,Castelo Branco
